file,year,county,url
GIS,2013,Alachua,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/11 Alachua.zip
GIS,2013,Baker,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/12 Baker.zip
GIS,2013,Bay,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/13 Bay.zip
GIS,2013,Bradford,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/14 Bradford.zip
GIS,2013,Brevard,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/15 Brevard.zip
GIS,2013,Broward,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/16 Broward.zip
GIS,2013,Calhoun,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/17 Calhoun.zip
GIS,2013,Charlotte,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/18 Charlotte.zip
GIS,2013,Citrus,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/19 Citrus.zip
GIS,2013,Clay,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/20 Clay.zip
GIS,2013,Collier,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/21 Collier.zip
GIS,2013,Columbia,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/22 Columbia.zip
GIS,2013,Miami-Dade,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/23 Dade.zip
GIS,2013,Desoto,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/24 Desoto.zip
GIS,2013,Dixie,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/25 Dixie.zip
GIS,2013,Duval,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/26 Duval.zip
GIS,2013,Escambia,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/27 Escambia.zip
GIS,2013,Flagler,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/28 Flagler.zip
GIS,2013,Franklin,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/29 Franklin.zip
GIS,2013,Gadsden,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/30 Gadsden.zip
GIS,2013,Gilchrist,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/31 Gilchrist.zip
GIS,2013,Glades,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/32 Glades.zip
GIS,2013,Gulf,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/33 Gulf.zip
GIS,2013,Hamilton,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/34 Hamilton.zip
GIS,2013,Hardee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/35 Hardee.zip
GIS,2013,Hendry,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/36 Hendry.zip
GIS,2013,Hernando,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/37 Hernando.zip
GIS,2013,Highlands,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2013/38 Highlands.zip
